,0,1
0,,
1,"Daddy! Daddy wasn't there Daddy! Daddy wasn't there, To take me to the fair, To cange my underwear, It seems he doesn't caaaarrrrreeee!!! Daddy wasn't there Daddy! Daddy wasn't there, To change my underwear, It seems he doesn't care! Daddy wasn't there! (When I was first baptized, When I was critizised, When I was ostercised, When I was jazzercised, Steak and Kidney Pies, One hour martinized, When I was Circumcised!... Daddy wasn'there) To take me to the fair, To change my underwear, Daddy wasn't there! ................... ................... ................... If you got a daddy issue, Here's a daddy tissue! D to the A to the DDY! D to the A to the DDY! They say it's just a fad, But I got a dead beat dad! D to the A to the DDY! D to the A to the DDY! I sit in my room and cry, And ask my self, the reason why! D to the A to the DDY! D to the A to the DDY! DADDY! .... DADDY! .... DADDY! .... D A DDY!",
2,,
3,,
4,,
5,,
6,,
7,"Is this what you meant? Is this What you dreamed of? When you were making Your plans Shaking the dirt off? Do you feel like you And I belong? (Oh, ah, oh) Just keep your eyes On the road And nothing can go wrong You could do so much Better than this You could do so much Better than this I've been checking my sums Oh where did the time go? Holding my photograph up To the window Through the paper A refracted sun (Oh, ah, oh) I can see all the things I wish that I'd done You can hang your hopes On the bedsits masses You can put your faith In the foreign You can tell yourself You can do your best You could do so much Better than this Get a grip on yourself Get a grip on yourself Could have been something But you're too late And you Wouldn't want it anyway Just a photograph From the wrong time 'Cause there Is no soap star Holding your hand You can see yourself In a freeze-frame Must be someone else Using your name And everyone Will be the same And everyone will glow And everywhere You'll see your name In every shop window It's better than this You could do so much Better than this You could do so much Better than this You could do so much Better than this",
8,,
9,"Secret heart What are you made of What are you so afraid of Could it be Three simple words Or the fear of being overheard What's wrong Let her in on your secret heart Secret heart Why so mysterious Why so sacred Why so serious Maybe you're Just acting tough Maybe you're just not bad enough What's wrong Let her in on your secret heart This very secret That you're trying to conceal Is the very same one You're dying to reveal Go tell her how you feel Secret heart come out and share it This loneliness, few can bear it Could it have something to do with Admitting that you just can't go through it alone Let her in on your secret heart This very secret That you're trying to conceal Is the very same one That you're dying to reveal Go tell her how you feel This very secret heart Go out and share it This very secret heart",
10,"Please allow me to introduce myself I'm a man of wealth and taste I've been around for a long, long year Stole many a man's soul to waste And I was 'round when Jesus Christ Had his moment of doubt and pain Made damn sure that Pilate Washed his hands and sealed his fate Pleased to meet you Hope you guess my name But what's puzzling you Is the nature of my game I stuck around St. Petersburg When I saw it was a time for a change Killed the czar and his ministers Anastasia screamed in vain I rode a tank Held a general's rank When the blitzkrieg raged And the bodies stank Pleased to meet you Hope you guess my name, oh yeah Ah, what's puzzling you Is the nature of my game, oh yeah (Woo woo, woo woo) I watched with glee While your kings and queens Fought for ten decades For the gods they made (Woo woo, woo woo) I shouted out, ""Who killed the Kennedys?"" When after all It was you and me (Who who, who who) Let me please introduce myself I'm a man of wealth and taste And I laid traps for troubadours Who get killed before they reached Bombay (Woo woo, who who) Pleased to meet you Hope you guessed my name, oh yeah (Who who) But what's puzzling you Is the nature of my game, oh yeah, get down, baby (Who who, who who) Pleased to meet you Hope you guessed my name, oh yeah But what's confusing you Is just the nature of my game (Woo woo, who who) Just as every cop is a criminal And all the sinners saints As heads is tails Just call me Lucifer 'Cause I'm in need of some restraint (Who who, who who) So if you meet me Have some courtesy Have some sympathy, and some taste (Woo woo) Use all your well-learned politesse Or I'll lay your soul to waste, mm yeah (Woo woo, woo woo) Pleased to meet you Hope you guessed my name, mm yeah (Who who) But what's puzzling you Is the nature of my game, mm mean it, get down (Woo woo, woo woo) Woo, who Oh yeah, get on down Oh yeah Oh yeah! (Woo woo) Tell me baby, what's my name Tell me honey, can ya guess my name Tell me baby, what's my name I tell you one time, you're to blame Oh, who Woo, woo Woo, who Woo, woo Woo, who, who Woo, who, who Oh, yeah What's my name Tell me, baby, what's my name Tell me, sweetie, what's my name Woo, who, who Woo, who, who Woo, who, who Woo, who, who Woo, who, who Woo, who, who Oh, yeah Woo woo Woo woo",
11,"Why do you build me up (build me up) buttercup, baby Just to let me down (let me down) and mess me around And then worst of all (worst of all) you never call, baby When you say you will (say you will) but I love you still I need you (I need you) more than anyone, darlin' You know that I have from the start So build me up (build me up) buttercup, don't break my heart ""I'll be over at ten"", you told me time and again But you're late, I wait around and then (bah-dah-dah) I went to the door, I can't take any more It's not you, you let me down again baby, baby, try to find (Hey, hey, hey!) a little time and I'll make you mine (Hey, hey, hey!) I'll be home I'll be beside the phone waiting for you Ooo-oo-ooo, ooo-oo-ooo Why do you build me up (build me up) buttercup, baby Just to let me down (let me down) and mess me around And then worst of all (worst of all) you never call, baby When you say you will (say you will) but I love you still I need you (I need you) more than anyone, darlin' You know that I have from the start So build me up (build me up) Buttercup, don't break my heart You were my toy but I could be the boy you adore If you'd just let me know (bah-dah-dah) Although you're untrue, I'm attracted to you all the more Why do I need you so baby, baby, try to find (Hey, hey, hey!) a little time and I'll make you mine (Hey, hey, hey!) I'll be home I'll be beside the phone waiting for you Ooo-oo-ooo, ooo-oo-ooo Why do you build me up (build me up) buttercup, baby Just to let me down (let me down) and mess me around And then worst of all (worst of all) you never call, baby When you say you will (say you will) but I love you still I need you (I need you) more than anyone, darlin' You know that I have from the start So build me up (build me up) buttercup, don't break my heart I-I-I need you-oo-oo more than anyone, baby You know that I have from the start So build me up (build me up) buttercup, don't break my heart",
12,,
13,,
14,,
15,,
16,,
17,,
