,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,"Far, far, far away, way  People heard him say, say  Something will be done Then at last the mighty ship  Descending on a point of flame  Made contact with the human race  And melted hearts  Now, now, now is the time, time  Time to be, be, be aware  Carter’s father saw him there and Knew the road revealed to him The living soul of Hereward the Wake Oh, my, something in the sky, sky Something in my eye, eye Waiting there for me The outer lock rolled slowly back The service men were heard to sigh For there revealed in glowing robes Was Lucy in the sky Oh, oh, did you ever know, know Never ever will they I cannot say Summoning his cosmic powers And glowing slightly from his clothes His psychic emanations flowed",,
28,,,
29,,,
30,,,
31,,,
32,"Only clowns would play with those balloons What d'ya wanna look like Barbie for Dear oh Lord, it's easy Roasting, roasting, roasting deed Mahogany Titties that live on and on and on and on Only clowns would play with those balloons What d'ya wanna look like Barbie for Dear oh Lord, it's easy Only clowns would play with those balloons Passive when I'm in record Day and night I'm watching you Roasting, roasting, roasting deed Mahogany Titties that live on and on and on and on Only clowns would play with those balloons What d'ya wanna look like Barbie for Dear oh Lord, it's easy",,
33,"Come down off your throne and leave your body alone Somebody must change You are the reason I've been waiting all these years Somebody holds the key Well, I'm near the end and I just ain't got the time And I'm wasted and I can't find my way home I can't find my way home But I can't find my way home But I can't find my way home But I can't find my way home Still I can't find my way home And I've done nothing wrong But I can't find my way home",,
34,"I must have read a thousand faces I must have robbed them of their cause Sickened thirst, sickened thirst Keeps it together Soft white glow in the cranium A bull's eye made sedated Beware Beware Beware I must have read a thousand faces And all these voices won't give up Sickened thirst, sickened thirst Glues it together Catatonic leisure At 1000 miles per hour Beware Beware Beware So who's in charge in here? Barking out loud so clear Because I'd really like to meet him So who's in charge in here? In the rear view of this mirror Because I'd really like to meet him So who's in charge in here? Barking out loud so clear Because I'd really like to meet him  Uproar east Strike west Have you ever tasted skin Sink your, sink your teeth in it Have you ever tasted skin Sink your teeth into Have you ever? Beware","Kissing Goodbye,  Tears in her eyes,  It's the last time, The last time you can be sure of,  But I can taste the salty kisses and the runny makeup,  Yea, it could be so boring  But she keeps crying,  And they keep kissing,  And I just hang about and listen  She's got to go,  She's got to go,  In the airport, in the morning, and I know  She's got to go  Now it's time they know,  They don't take a step,  Line keeps on pushing,  They won't stop kissing,  The airport is racing,  The smokers are pacing,  It just started raining,  Soon I'll have to go  But she keeps crying,  And they keep kissing,  And I just hang about and listen  But she's got to go,  She's got to go,  In the airport, In the morning, I know  She's got to go  In the morning, In the airport  She's crying and the phone rings  And you answer, and its quiet  And there's nothing that'll change the fact  That she's leaving tomorrow  And you'll be alone again with nothing to distract you  You watch the clock as it keeps ticking  Monday morning airport  (over and over)  Monday morning airport",
