,0,1,2,3,4
0,"In the town where I was born Lived a man who sailed to sea And he told us of his life In the land of submarines So we sailed up to the sun Till we found a sea of green And we lived beneath the waves In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine And our friends are all aboard Many more of them live next door And the band begins to play We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine (Full speed ahead Mr. Boatswain, full speed ahead Full speed ahead it is, Sergeant. Cut the cable, drop the cable Aye, Sir, aye Captain, captain) As we live a life of ease Every one of us has all we need Sky of blue and sea of green In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine",,,,
1,,,,,
2,"It's the dark night of my soul And temptation's taking hold But through the pain and the suffering Through the heartache and trembling [Chorus] I feel loved I feel loved As the darkness closes in In my head I hear whispering Questioning and beckoning But I'm not taken in From the depths of my emptiness Comes a feeling of inner bliss I feel wanted, I feel desired I can feel my soul on fire [Chorus]",,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,"Can anybody find me somebody to love Ooh, each morning I get up I die a little Can barely stand on my feet (Take a look at yourself) Take a look in the mirror and cry (and cry) Lord what you're doing to me (yeah yeah) I have spent all my years in believing you But I just can't get no relief, Lord! Somebody (somebody) ooh somebody (somebody) Can anybody find me somebody to love? I work hard (he works hard) every day of my life I work till I ache in my bones At the end (at the end of the day) I take home my hard earned pay all on my own I get down (down) on my knees (knees) And I start to pray Till the tears run down from my eyes Lord somebody (somebody), ooh somebody (Please) can anybody find me somebody to love? Everyday (everyday) I try and I try and I try But everybody wants to put me down They say I'm going crazy They say I got a lot of water in my brain Ah, got no common sense I got nobody left to believe in Yeah yeah yeah yeah Oh Lord Ooh somebody, ooh somebody Can anybody find me somebody to love? (Can anybody find me someone to love) Got no feel, I got no rhythm I just keep losing my beat (you just keep losing and losing) I'm OK, I'm alright (he's alright, he's alright) I ain't gonna face no defeat (yeah yeah) I just gotta get out of this prison cell One day (someday) I'm gonna be free, Lord! Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love Find me somebody to love love love Find me somebody to love Find me somebody to love Somebody somebody somebody somebody Somebody find me Somebody find me somebody to love Can anybody find me somebody to love? (Find me somebody to love) Ooh (Find me somebody to love) Find me somebody, somebody (find me somebody to love) somebody, somebody to love Find me, find me, find me, find me, find me Ooh, somebody to love (Find me somebody to love) Ooh (find me somebody to love) Find me, find me, find me somebody to love (find me somebody to love) Anybody, anywhere, anybody find me somebody to love love love! Somebody find me, find me love",,,,
8,,,,,
9,,,,,
10,,,,,
11,"She keeps Moet et Chandon In her pretty cabinet 'Let them eat cake' she says Just like Marie Antoinette A built-in remedy For Kruschev and Kennedy At anytime an invitation You can't decline Caviar and cigarettes Well versed in etiquette Extraordinarily nice She's a Killer Queen Gunpowder, gelatin Dynamite with a laser beam Guaranteed to blow your mind Anytime Recommended at the price Insatiable an appetite Wanna try? To avoid complications She never kept the same address In conversation She spoke just like a baroness Met a man from China Went down to Geisha Minah Then again incidentally If you're that way inclined Perfume came naturally from Paris For cars she couldn't care less Fastidious and precise She's a Killer Queen Gunpowder, gelatin Dynamite with a laser beam Guaranteed to blow your mind Anytime Drop of a hat she's as willing as Playful as a pussy cat Then momentarily out of action Temporarily out of gas To absolutely drive you wild, wild. She's all out to get you She's a Killer Queen Gunpowder, gelatin Dynamite with a laser beam Guaranteed to blow your mind Anytime Recommended at the price Insatiable an appetite Wanna try? You wanna try.",,,,
12,"Early in the evenin' just about supper time, Over by the courthouse they're starting to unwind. Four kids on the corner trying to bring you up. Willy picks a tune out and he blows it on the harp. Down on the corner, out in the street Willy and the Poorboys are playin' Bring a nickel; tap your feet. Rooster hits the washboard and people just got to smile, Blinky, thumps the gut bass and solos for a while. Poorboy twangs the rhythm out on his kalamazoo. Willy goes into a dance and doubles on kazoo. Down on the corner, out in the street Willy and the Poorboys are playin' Bring a nickel; tap your feet. Down on the corner, out in the street, Willy and the Poorboys are playin' Bring a nickel; tap your feet. You don't need a penny just to hang around, But if you've got a nickel, won't you lay your money down? Over on the corner there's a happy noise. People come from all around to watch the magic boy. Down on the corner, out in the street, Willy and the Poorboys are playin'; Bring a nickel; tap your feet. Down on the corner, out in the street Willy and the Poorboys are playin' Bring a nickel; tap your feet. Down on the corner, out in the street Willy and the Poorboys are playin' Bring a nickel; tap your feet.",,,,
13,,,,,
14,"The very thought of you makes my heart sing Like an April breeze on the wings of spring And you appear in all your splendor My one and only love The shadows fall and spread their mystic charms In the hush of night while you're in my arms I feel your lips, so warm and tender My one and only love The touch of your hand is like heaven A heaven that I've never known The blush on your cheek whenever I speak Tells me that you are my own You fill my eager heart with such desire Every kiss you give sets my soul on fire I give myself in sweet surrender My one and only love My one and only love",,,,
15,,,,,
16,"You look like an angel Walk like an angel Talk like an angel But I got wise You're the devil in disguise Oh yes you are The devil in disguise You fooled me with your kisses You cheated and you schemed Heaven knows how you lied to me You're not the way you seemed You look like an angel Walk like an angel Talk like an angel But I got wise You're the devil in disguise Oh yes you are The devil in disguise I thought that I was in heaven But I was sure surprised Heaven help me, I didn't see The devil in your eyes You look like an angel Walk like an angel Talk like an angel But I got wise You're the devil in disguise Oh yes you are The devil in disguise You're the devil in disguise Oh yes you are The devil in disguise Oh yes you are The devil in disguise",,,,
17,,,,,
18,"Just as the sand made everything round Just as the tar seeps up from the ground Bitter dancer, ever turning So was the day that you came to town You took a room and you settled in Washed off the chalk from your weathered skin Daylight sleeper Bloody reaper You took a room and you settled in I should have known one day you would come All of us walk so blind in the sun Midnight feeder, beggar pleader I should have known one day you would come Tell me again my only son Tell me again what have you done At arm's length I will hold you there There At arm's length I will hold you there There",,,,
19,,,,,
20,,,,,
21,"You don't have to touch it to know Love is everywhere you go You don't have to touch it to feel Love is every second we steal  Love is love is nothing without you Love is love is everything you do Open up your eyes And you will see Love is love is everything to me  You don't have to touch it to be Wrapped up in emotion like me Everyone must feel how I do, yeah Love is just to be close to you  Love is love is nothing without you Love is love is everything you do Open up your eyes And you will see Love is love is everything to me  And you know that love is love It's written in black and blue And everything you say Must bring her closer, closer to you Ba-ba (ooh), ba-ba (ooh), ba-ba (ooh)  You don't have to touch it to know Love is everywhere that you go You don't have to touch it to feel Love is every second we steal  Love is love is nothing without you Love is love is everything you do Open up your eyes And you will see Love is love is everything to me  Love is love is nothing without you Love is love is everything you do",,,,
22,,,,,
23,,,,,
24,"Every breath you take Every move you make Every bond you break Every step you take I'll be watching you Every single day Every word you say Every game you play Every night you stay I'll be watching you Oh can't you see You belong to me My poor heart aches With every step you take Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you Since you've gone I been lost without a trace I dream at night I can only see your face I look around but it's you I can't replace I feel so cold and I long for your embrace I keep crying baby, baby, please Oh can't you see You belong to me My poor heart aches With every step you take Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you Every move you make Every step you take I'll be watching you I'll be watching you  (Every breath you take, every move you make, every bond you break, every step you take) I'll be watching you (Every single day, every word you say, every game you play, every night you stay) I'll be watching you (Every move you make, every vow you break, every smile you fake, every claim you stake) I'll be watching you (Every single day, every word you say, every game you play, every night you stay) I'll be watching you (Every breath you take, every move you make,  every bond you break, every step you take) I'll be watching you (Every single day, every word you say, every game you play, every night you stay) I'll be watching you",,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,"In the still of the night, in the world's ancient light Where wisdom grows up in strife My bewildered brain, tolls in vain Through the darkness on the pathways of life Each invisible prayer is like a cloud in the air Tomorrow keeps turning around We live and we die, we know not why But I'll be with you when the deal goes down We eat and we drink, we feel and we think Far down the street we stray I laugh and I cry and I'm haunted by Things I never meant nor wished to say The midnight rain follows the train We all wear the same thorny crown Soul to soul, our shadows roll And I'll be with you when the deal goes down Well the moon gives light and shines by night And I scarcely feel the glow We learn to live and then we forgive Or the road we're bound to go More frailer than the flowers, these precious hours That keep us so tightly bound You come to my eyes like a vision from the skies And I'll be with you when the deal goes down Well I picked up a rose and it poked through my clothes I followed the winding stream I heard the deafening noise, I felt transient joys I know they're not what they seem In this earthly domain, full of disappointment and pain You'll never see me frown I owe my heart to you, and that's sayin' it true And I'll be with you when the deal goes down",,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,"I heard you're asking how I'm feeling I guess I'll play it day by day  I'm still around now, my heart is healing But something's never gonna change  'Cause now I know love ain't easy to find  I let you go, now I'm changing my mind  I know that love, it don't come easy It took so long, it's been hard to find  So love, you must believe me Ain't gonna let it slip away I know I was wrong I want you back where you belong Want you back where you belong Back where you belong  I played around now, I've done some dealing  I found that love should be with you  And so you're gone now, my head is reeling Don't wanna be with someone new  And so I go, with a feeling inside me 'Cause I know what I'm leaving behind  I know that love, it don't come easy It took so long, it's been hard to find  So love, you must believe me Ain't gonna let it slip away I know I was wrong I want you back where you belong Want you back where you belong Back where you belong I guess in time I stop and think it over Everything that we've been through  This heart of mine may never find another Who loves me just the way you do Hey girl I heard you're asking how I'm feeling I guess I'll play it day by day I'm still around now, my heart is healing But something's never gonna change  'Cause now I know love ain't easy to find  I let you go, now I'm changing my mind  I know that love, it don't come easy It took so long, it's been hard to find  So love, you must believe me Ain't gonna let it slip away I know I was wrong I want you back where you belong Back where you belong, hey, hey  I know that love, it don't come easy It took so long, it's been hard to find  And so love, you must believe me Ain't gonna let it slip away, baby",,,,
37,"Hold it together, birds of a feather Nothing but lies and crooked wings I have the answer, spreading the cancer You are the faith inside me No, don't Leave me to die here Help me survive here Alone, don't remember, remember Put me to sleep, evil angel Open your wings, evil angel A-ah I'm a believer Nothing could be worse All these imaginary friends Hiding betrayal Driving the nail Hoping to find a savior No, don't Leave me to die here Help me survive here Alone, don't Surrender, surrender Put me to sleep, evil angel Open your wings, evil angel Oh Fly over me, evil angel Why can't I breathe, evil angel? Put me to sleep, evil angel Open your wings, evil angel Oh Fly over me, evil angel Why can't I breathe, evil angel?",,,,
38,I had no choice but to hear you You stated your case time and again I thought about it You treat me like I'm a princess I'm not used to liking that You ask how my day was You've already won me over in spite of me And don't be alarmed if I fall head over feet And don't be surprised if I love you for all that you are I couldn't help it It's all your fault Your love is thick and it swallowed me whole You're so much braver than I gave you credit for That's not lip service You've already won me over in spite of me And don't be alarmed if I fall head over feet And don't be surprised if I love you for all that you are I couldn't help it It's all your fault You are the bearer of unconditional things You held your breath and the door for me Thanks for your patience You're the best listener that I've ever met You're my best friend Best friend with benefits What took me so long I've never felt this healthy before I've never wanted something rational I am aware now I am aware now You've already won me over in spite of me And don't be alarmed if I fall head over feet And don't be surprised if I love you for all that you are I couldn't help it It's all your fault You've already won me over in spite of me And don't be alarmed if I fall head over feet And don't be surprised if I love you for all that you are I couldn't help it It's all your fault I couldn't help it It's all your fault,How 'bout getting off these antibiotics How 'bout stopping eating when I'm full up How 'bout them transparent dangling carrots How 'bout that ever elusive kudo Thank you India Thank you terror Thank you disillusionment Thank you frailty Thank you consequence Thank you thank you silence How 'bout me not blaming you for everything How 'bout me enjoying the moment for once How 'bout how good it feels to finally forgive you How 'bout grieving it all one at a time Thank you India Thank you terror Thank you disillusionment Thank you frailty Thank you consequence Thank you thank you silence The moment I let go of it was the moment I got more than I could handle The moment I jumped off of it Was the moment I touched down How 'bout no longer being masochistic How 'bout remembering your divinity How 'bout unabashedly bawling your eyes out How 'bout not equating death with stopping Thank you India Thank you providence Thank you disillusionment Thank you nothingness Thank you clarity Thank you thank you silence,,,
39,,,,,
40,"A man conceived a moment's answers to the dream Staying the flowers daily, sensing all the themes As a foundation left to create the spiral aim A movement regained and regarded both the same All complete in the sight of seeds of life with you Changed only for a sight of sound, the space agreed Between the picture of time behind the face of need Coming quickly to terms of all expression laid Emotion revealed as the ocean maid All complete in the sight of seeds of life with you Oh Turn round tailor                                              Coins and Assaulting all the mornings of the                             Crosses Interest shown                                Never know Presenting one another to the cord                       Their fruitless worth All left dying, rediscovered                                   Cords are broken Of the door that turned round                                    Locked inside To close the cover                                         The mother earth All the interest shown                                              They won't To turn one another, to the sign                          Hide, hold, they won't At the time                                        Tell you, watching the world To float your climb                        Watching all of the world Watching us go by And you and I climb over the sea to the valley And you and I reached out for reasons to call Coming quickly to terms of all expression laid Emotion revealed as the ocean maid As a movement regained and regarded both the same All complete in the side of seeds of life with you Sad preacher nailed upon the coloured door of time Insane teacher be there reminded of the rhyme There'll be no mutant enemy we shall certify Political ends, as sad remains, will die Reach out as forward tastes begin to enter you Ooh, ooh I listened hard but could not see Life tempo change out and inside me The preacher trained in all to lose his name The teacher travels, asking to be shown the same In the end, we'll agree, we'll accept, we'll immortalize That the truth of the man maturing in his eyes All complete in the sight of seeds of life with you Coming quickly to terms of all expression laid As a moment regained and regarded both the same Emotion revealed as the ocean maid A clearer future, morning, evening, nights with you And you and I climb, crossing the shapes of the morning And you and I reach over the sun for the river And you and I climb, clearer, towards the movement And you and I called over valleys of endless seas",,,,
41,"Can you imagine what it's like seeing life From the other side Do you imagine darkened light, starless night? You might need a guide And will the illusion confuse you, play with your thoughts And alter your mind Or become a delusion, exclude you Change your existence For another kind See what you see for yourself, 'til your heart Is open wide Wish what you wish for yourself, and you find it there And you believe it And you believe it Can you imagine what it's like, seeing life From the other side Do you imagine light darkened, starless night You might need a guide And will the illusion confuse you, play with your thoughts And alter your mind Or become a delusion, excuse you Change your existence For another kind See what you see for yourself, till your heart Is open wide Wish what you wish for yourself, and you find it here And you believe it And you believe it",,,,
42,"Sometimes life it takes you by the hand It puts you down before you know it It's gone and you're dead again I've been in places and I won't pretend That I make it I just fall on my head When it's strange to take a walk downstairs Sweep you all up on a corner and pay for my bread You know that I cannot believe my own truth To show what a truth, it's got nothing to lose Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight You know those days when you wanted to choose To not get out of bed and get lost in your head again You play the game but you gotta cut 'Cause you're coming down hard your joints are off stud I tried to say that's not the only way I never knew if I could convince myself to change You were pacing, I was insecure Slip and fall I got the calls of the prison I was living in Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison, a sip of something poison Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison but I'll hold on tight Yeah yeah and it's okay I tie my hands up to a chair so I don't fall that way Yeah yeah and I'm alright I took a sip of something poison, a sip of something poison",,,,
43,"I think my friend said, ""I hear footsteps."" I wore my black and white dress to the Birthday massacre, birthday massacre, birthday I wore my black and white dress I think my friend said, ""Stick it in the back of her head."" I think my friend said, ""Two of them are sisters."" ""I'm a murder tramp, birthday boy"", I think I said ""I'm gonna bash them in, bash them in"", I think he said Then we wished them all a happy birthday We kissed them all goodnight. Now he chases me to my room, Chases me to my room, chases me In my black and red dress I think my friend said, ""Don't forget the video."" I think my friend said, ""Don't forget to smile."" ""You're a murder tramp, murder tramp"", I think he said ""You're a murder boy, birthday boy"", I think I said",,,,
44,,,,,
45,"Dark nights, the planets are set Creator prepares for the dawn of man You're waking up, the day of incarnation Said your waking up to life Images he made to love Images of gods in flesh Man is wonderful, very wonderful, look at him Beware the future Here is my world and it's waiting for me Paradise before my eyes I am alive in a new born world This heaven will always be mine I'm waking up, the day of man has come I'm waking up, the day of man has come And God created man from dust With a soul inside his mould And God created womankind The vessel of Satan's hold Creator made the serpent wise Evil in his tempting eyes Man is wonderful, very wonderful, look at him Beware the future Here is my world and it's waiting for me Paradise before my eyes I am alive in a new born world This heaven will always be mine I'm waking up, the day of man has come I'm waking up, the day of man has come Dark nights, the planets are set Creator prepares for the dawn of man You're waking up, the day of incarnation Said your waking up to life Here I stand a child in a lonely world See the serpent tempting me to evil The guiding hand will help me on The guiding hand will help me on",,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
