,0,1,2,3,4
0,"Higher It's what I expect from my life It's like a wire That holds me back down to the ground Oh, I hear you say That is the way of the world No, hear what I say I want to do so much in my way Higher I've set my limits and bounds There's a fire It's burning so hot in my head Oh, I hear you say That is the way of the world No, hear what I say I want to do so much in my way We got (A little time) to build up your lives (A little time) to make up our minds (A little time) to fill up our dreams (A little time) time Time Time Time Time, time (A little time) to build up your lives (A little time) to make up our minds (A little time) to fill up our dreams (A little time) time to build up your lives (A little time) to make up our minds (A little time) to fill up our dreams (A little time) time to build up your lives (A little time) to make up our minds (A little time) to fill up our dreams (A little time) time to build up your lives (A little time) to make up our minds (A little time) to fill up our dreams (A little time) time",,,,
1,,,,,
2,,,,,
3,"Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well My chain hits my chest When I'm bangin' on the dashboard My chain hits my chest When I'm bangin' on the radio Get back, get down Pull me closer if you think you can hang Hands up, hands tied Don't go screaming if I blow you with a bang Suki Zuki I'm coming in the Cherokee Gasoline There's steam on the window screen Take it, take it World's bouncing like a trampoline When I get to where I'm going, gonna have you trembling Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well My chain hits my chest When I'm banging on the dashboard My chain hits my chest When I'm banging on the radio Yeah back it, back it Yeah pull up to the bumper game Yeah with a signal Cover me, cause I'm changing lanes Had a handle on it My life, I broke it When I get to where I'm going, gonna have you saying it Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well My chain hits my chest When I'm banging on the dashboard My chain hits my chest When I'm banging on the radio Get back, get down Pull me closer if you think you can hang Hands up, hands tied Don't go screaming if I blow you with a bang Going nought to bitch, I'll see four million Accelerating fast I can do this in a second Lookin' in the rear view, swaggin' goin' swell Leavin' boys behind 'cause it’s legal just to kill Shift gear, automatic, damned if I do Who's gonna stop me when I'm coming through? What we got left is just me and you But if I go to bed, baby, can I take you? Get back, get down Pull me closer if you think you can hang Hands up, hands tied Don't go screaming if I blow you with a bang Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Live fast, die young Bad girls do it well Chain hits my chest When I'm bangin' on the dashboard My chain hits my chest When I'm bangin' on the radio Chain hits my chest When I'm bangin' on the dashboard My chain hits my chest When I'm bangin'",,,,
4,,,,,
5,,"From the coast of gold, across the seven seas I'm traveling on, far and wide But now it seems, I'm just a stranger to myself And all the things I sometimes do, it isn't me but someone else I close my eyes, and think of home Another city goes by, in the night Ain't it funny how it is, you never miss it til it's gone away And my heart is lying there and will be til my dying day So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years Too much time on my hands, I got you on my mind Can't ease this pain, so easily When you can't find the words to say, it's hard to make it through another day And it makes me want to cry, and throw my hands up to the sky So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years",,,
6,,,,,
7,,,,,
8,"Oh oh people of the earth Listen to the warning The Seer he said Beware the storm that gathers here Listen to the wise man I dreamed I saw on a moonlit stair Spreading his hands on the multitude there A man who cried for a love gone stale And ice cold hearts of charity bare I watched as fear took the old men's gaze Hopes of the young in troubled graves I see no day, I heard him say So grey is the face of every mortal Oh oh people of the earth Listen to the warning The prophet he said For soon the cold of night will fall Summoned by your own hand Oh oh children of the land Quicken to the new life Take my hand Oh, fly and find the new green bough Return like the white dove He told of death as a bone white haze Taking the lost and the unloved babe Late, too late, all the wretches run These kings of beasts now counting their days From mother's love is the son estranged Married his own his precious gain The earth will shake in two will break And death all around will be your dow'ry Oh oh people of the earth Listen to the warning, the seer, he said For those who hear and mark my words Listen to the good plan Oh oh oh oh and two by two my human zoo They'll be Running for to come Running for to come Out of the rain Oh, flee for your life Who heed me not, let all your treasure make you Oh, fear for your life Deceive you not the fires of hell will take you Should death await you Oh, oh, people can you hear me (oh, oh, people can you hear me) (Oh, oh, people can you hear me) And now I know (now I know) (now I know) And now  I know (now I know) (now I know) Now I know that you can hear me (now I know that you can hear me) And now I know (now I know) (now I know) Now I know (now I know) (now I know) Now I know (now I know) (now I know) Now I know (now I know) (now I know) The Earth will shake in two will break in two will Shake in two will break in two Doubts all around around around around around around around around Now I know (now I know) (now I know) Now I know (now I know) (now I know) Now I know (now I know) (now I know) Now I know (now I know) (now I know) Wow ooh wow ooh wow ooh wow ooh wow ooh wow ooh wow ooh wow ooh Listen to the wise (listen to the wise) (listen to the wise) Listen to the wise (listen to the wise) (listen to the wise) Listen to the wise man (listen to the wise man) (listen to the wise man) Laa laa la la la la laa laa (laa laa  la la la la laa laa) La la la la laa laa (la la la la laa laa) La la la la laa laa (la la la la laa laa) La la la la laa laa (la la la la laa laa) La la la la laa laa (la la la la laa laa) La la la la laa laa (la la la la laa laa) La la la la laa laa (la la la la laa laa) La la laa laa (la la laa laa) La la laa laa (la la laa laa) La la (la la) La la (la la) La la (la la) Come here (come here) I you come here (I you come here) I you come here (I you come here) I you (ah) Aah (ah) Aha (aha) Aah (ah) Aha (aha) Listen to the mad (listen to the mad) Listen to the man (listen to the man) Listen to the mad (listen to the mad) Listen to the mad man (listen to the mad man) God give you the grace to purge this place And peace all around may be your fortune Oh oh children of the land Love is still the answer, take my hand The vision fades, a voice I hear Listen to the madman Oh, but still I fear and still I dare not Laugh at the madman",,,,
9,,,,,
10,"There goes the siren that warns of the air raid Then comes the sound of the guns sending flak Out for the scramble we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheel-blocks there's no time to waste Gathering speed as we head down the runway Gotta get airborne before it's too late Running, scrambling, flying Rolling, turning, diving, going in again Running, scrambling, flying Rolling, turning, diving, Run, live to fly, fly to live, do or die Run, live to fly, fly to live Aces high Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round and come in behind them Move to their blindsides and firing again Bandits at 8 O'clock move in behind us Ten ME-109's out of the sun Ascending and turning our spitfires to face them Heading straight for them I press down my guns Rolling, turning, diving Rolling, turning, diving, going in again Rolling, turning, diving Rolling, turning, diving, Run, live to fly, fly to live, do or die Run, live to fly, fly to live, Aces high",,,,
11,"Have you ever felt the future is the past, but you don't know how? A reflected dream of a captured time, is it really now, is it really happening? Don't know why I feel this way, have I dreamt this time, this place? Something vivid comes again into my mind And I think I've seen your face, seen this room, been in this place Something vivid comes again into my mind All my hopes and expectations, looking for an explanation Have I found my destination? I just can't take no more The dream is true, the dream is true The dream is true, the dream is true Think I've heard your voice before, think I've said these words before Something makes me feel I just might lose my mind Am I still inside my dream? Is this a new reality Something makes me feel that I have lost my mind All my hopes and expectations, looking for an explanation Coming to the realization that I can't see for sure I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, please save me from myself The dream is true, the dream is true The dream is true, the dream is true I get up put on the light, dreading the oncoming night Scared to fall asleep and dream the dream again Nothing that I contemplate, nothing that I can compare To letting loose the demons deep inside my head Dread to think what might be stirring, that my dream is reoccurring Got to keep away from drifting, saving me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself Lost in a dream of mirrors, lost in a paradox Lost and time is spinning, lost a nightmare I retrace Lost a hell that I revisit, lost another time and place Lost a parallel existence, lost a nightmare I retrace I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself I only dream in black and white, I only dream cause I'm alive I only dream in black and white, to save me from myself The dream is true, the dream is true The dream is true, the dream is true",,,,
12,,,,,
13,"It seems you wanna give me Oh, a life time of security Down on your dying knees I watch you, babe, I watch you plead But your words come much too late My love for you has turned to hate Cause you've taken too much time To show me that you're mine When I drop you boy You'll need another toy One that won't stand up for herself When I knock you down You'll need another town Where somebody's gonna talk to you You just let me wait Now it's too late For your delayed, delayed devotion You try to convince me Oh, about the possibilities But I know that all your poetry Just comes from insecurity Cause your actions speak nothing no more When it's what I've been waiting for Cause you've taken too much time To show me that you're mine When I drop you boy You'll need another toy One that won't stand up for herself When I knock you down You'll need another town Where somebody's gonna talk to you You just let me wait Now it's too late For your delayed, delayed devotion You played me for a fool for too long Blinded by your lies I never saw your all I'm no longer under your spell Hear it in a song You can go to Hell When I drop you boy You'll need another toy One that won't stand up for herself When I knock you down You'll need another town Where somebody's gonna talk to you You just let me wait Now it's too late For your delayed, delayed devotion",,,,
14,,,,,
15,,,,,
