,0,1,2
0,"Last week I had the strangest dream where everything was exactly how it seemed where there was never any mystery of who shot John F Kennedy It was just a man with something to prove, slightly bored and severely confused He steadied his rifle with his target in the center and became famous on that day in November Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping in Again last night I had that strange dream where everything was exactly how it seemed concerns about the world getting warmer people thought that they were just being rewarded for treating others as they'd like to be treated for obeying stop signs and curing diseases for mailing letters with the address of the sender Now we can swim any day in November Don't wake me, I plan on sleeping in (Now we can swim any day in November) Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping in Don't wake me, I plan on sleeping",,
1,,,
2,"I'm living on shattered faith The kind that likes to restrict your breath There's never been a better time than this Suffocate on eternal bliss In a city That swells with so much hate You seem to rise above And take its place The heart pumps until it dies Drain the blood, the heart is wise All my friends are murder All my bones no marrows in All these fiends want teenage meat All my friends are murderers Away.... I never met a pearl quite like you Who could shimmer and rot at the same time through There's never been a better time than this To bite the hand of the frost bitten menace All my friends are murder All my bones are marrows in All these fiends want teenage meat All my friends are murderers Away....away......away.... Whoa whoa whoa whoa..... I'm alive in uterine A stab in the dark, a new day had dawned Open up and let it flow I'll make it yours so here we go... All my friends are murder All my bones are marrows in All these fiends want teenage meat All my friends are murderers Away he's gone away......",,
3,"The paranoia is in bloom, the P-R Transmissions will resume They'll try to push drugs That keep us all dumbed down and hope that We will never see the truth around (So come on) Another promise, another scene, Another package lie to keep us trapped in greed With all the green belts wrapped around our minds And endless red tape to keep the truth confined (So come on) They will not force us They will stop degrading us They will not control us We will be victorious  (So come on) Interchanging mind control Come let the revolution take its toll if you could Flick a switch and open your third eye, you'd see that We should never be afraid to die (So come on) Rise up and take the power back, it's time that The fat cats had a heart attack, you know that Their time is coming to an end We have to unify and watch our flag ascend (So come on) They will not force us They will stop degrading us They will not control us We will be victorious (So come on) Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey They will not force us They will stop degrading us They will not control us We will be victorious (So come on) Hey, hey, hey, hey",,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
