,0,1,2,3,4
0,"I walk a lonely road The only one that I have ever known Don't know where it goes But it's only me, and I walk alone I walk this empty street On the boulevard of broken dreams Where the city sleeps And I'm the only one, and I walk alone I walk alone, I walk alone I walk alone and I walk a My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me Till then I walk alone Ah ah ah ah ah Ah ah ah ah ah I'm walking down the line That divides me somewhere in my mind On the border line of the edge And where I walk alone Read between the lines What's fucked up and every thing's all right Check my vital signs to know I'm still alive And I walk alone I walk alone, I walk alone I walk alone and I walk a My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me Till then I walk alone Ah ah ah ah ah Ah ah ah ah ah I walk alone, I walk a I walk this empty street On the boulevard of broken dreams Where the city sleeps And I'm the only one, and I walk alone My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me Till then I walk alone",,,,
1,,,,,
2,,,,,
3,"Here's to you, Nicola and Bart  Rest forever here in our hearts  The last and final moment is yours  That agony is your triumph",,,,
4,,,,,
5,,,,,
6,,,,,
7,"You claw, you fight, you lose Got a doll that looks just like you Remember when we used to say ""I love you"" almost every day I saw a light in you Going out as I closed our window You never liked me anyway I don't see the light I saw in you before And now I don't, and now I don't And now I don't care anymore Baby, believe me If you had every chance You'd destroy everything you love (Uncontrollable) If you don't need me Just let me go You hate, you bite, you lose After all, I just don't like you It's nice that you say you like me But only conditionally Your voice, it had the perfect flow It got lost when you gave it up though 'Cause you want money You want fame I don't see the light I saw in you before And now I don't, and now I don't And now I don't care anymore Baby, believe me If you had every chance You'd destroy everything you love (Uncontrollable) If you don't need me Just let me go Baby, believe me I don't know how many times You destroyed everything that you love (Uncontrollable) If you don't need me Just let me go Baby, believe me I don't know how many times You destroyed everything that you love (Uncontrollable) If you don't need me Just let me go","I could live in the world just like a stranger I could tell you the truth or a lie I could tell you that people are good in the end But why, why would I? Angels will cry when it's raining Tears that are no longer clean What do you mean? What do you mean, so gone? I waited here so long I couldn't leave you I think that you might think Now that you're missing something You won't leave the world with me Live as yourself Live as yourself",,,
8,,,,,
9,"I remember all the cries It's a secret dream lost in your love You, your lonesome eyes are all I want to know Helpless tears can never stop the rain Only you can turn my life, Can turn it just this way Touch in the night, it feels like heaven Touch in the night so lucky in love Lost in your light another secret Touch in the night whatever I do You are angel in disguise Deep inside my heart like the inner light I believe in all you promise and your lies But I feel in the end I'll lose Only you can turn my life, Can turn it just this way Touch in the night, it feels like heaven Touch in the night so lucky in love Lost in your light another secret Touch in the night whatever I do Tonight I feel, I feel for you Tonight I call, I'm calling your name Tonight I feel, I feel for you tonight",,,,
10,,,,,
11,,,,,
12,"No matter how many times that you told me you wanted to leave No matter how many breaths that you took you still couldn't breathe No matter how many nights that you'd lie wide awake to the sound of the poison rain Where did you go, where did you go, where did you go As the days go by the night's on fire Tell me would you kill to save a life Tell me would you kill to prove you're right Crash crash Burn let it all burn This hurricane's chasing us all underground No matter how many deaths that I die I will never forget No matter how many lives I live I will never regret There is a fire inside of this heart and a riot about to explode into flames Where is your god, where is your god, where is your god Do you really want, do you really want me Do you really want me dead or alive to torture for my sins Do you really want  Do you really want me Do you really want me dead or alive to live a lie Tell me would you kill to save a life Tell me would you kill to prove you're right Crash crash Burn let it all burn This hurricane's chasing us all underground The promises we made were not enough The prayers that we had prayed were like a drug The secrets that we sold were never known The love we had the love we had We had to let it go Tell me would you kill to save a life Tell me would you kill to prove you're right Crash crash Burn let it all burn This hurricane's chasing us all underground This hurricane This hurricane This hurricane Do you really want, do you really want me Do you really want me dead or alive to torture for my sins Do you really want  Do you really want me Do you really want me dead or alive to live a lie",,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,"You can't imagine so many monkeys in the daily mail All of them coming anonymously so they leave no trail I never thought I'd have an admirer from overseas But someone is sending me stationary filled with chimpanzees Some chimps in swimsuits, some chimps are swinging from a vine Some chimps in jackboots, some chimps that wish they could be mine Starsky and Hutch chimps, a chimp who's sitting on the can A pair of Dutch chimps who send their love from Amsterdam Another postcard with chimpanzees And every one is addressed to me If I had to guess, I'd say the monkey-sender thinks it's great He's sending me, maybe she's sending me just to see me get irate I'm losing sleep - and it's gonna be keeping me up all night I thought it was funny, but now I've got money on a monkey fight Some chimps in hard hats, chimps a-working on a chain gang Some chimps who love cats, burning rubber in a Mustang A birthday-wishing chimp, a chimp in black like a goth A goin' fishin' chimp, a British chimp in the bath Another postcard with chimpanzees And every one is addressed to me Somehow they followed me even though I packed and moved my home No matter what, they come and they come they won't leave me alone Another monkey in the mail could make me lose my mind But look at me shuffling through the stack until I finally find Some chimps in swimsuits Some chimps in Jackboots Some chimps in hard hats Some chimps who love cats I've got some shaved chimps; that's chimps devoid of any hair I've got depraved chimps dressed up in women's underwear Another postcard with chimpanzees And every one is addressed to me Every one is addressed to me Another postcard with chimpanzees And every one is addressed to me",,,,
23,,,,,
24,"I can see myself tucked in and fast asleep Looking all peaceful but in my dreams I weep From far up I'm looking down upon myself And I wonder who it is that's lying there I feel like in a world all beside myself Afraid I won't wake up with no one there to care I know someone used to watch me in my sleep But some things seem just impossible to keep I fight hard to bring it back into my mind But to no use, it all seems to be a blank I wonder what it was that had me defined But one thing I know, I have myself to thank I feel like I have amnesia But I know it's myself I've lost I wonder what's happened so far And what might have been the cost I'm not sure I want to know Any of the things I've done I don't know yet where to go But I'll accept my past is gone I feel like I have amnesia And I've missed the heavenly host I'm surprised I've come this far Living without what I need most I don't think I can go back To the things that were before Though I'm now always wearing black I don't bemoan my life of yore I wake up and feel like I should be at home But I do not know this, it's not where I belong My head is dazed and my mind is all confused And I'm not quite sure that I'm really there But the mirror shows me looking out, bemused Into a blank place that could be anywhere I feel like I have been left out in the cold And it hurts to know that this is all my fault I leave this place to find familiar ground But the whole world seems to have been rearranged Now my former self is nowhere to be found And I know that it's myself that's changed I feel like I have amnesia But I know it's myself I've lost I wonder what's happened so far And what might have been the cost I'm not sure I want to know Any of the things I've done I don't know yet where to go But I'll accept my past is gone I feel like I have amnesia And I've missed the heavenly host I'm surprised I've come this far Living without what I need most I don't think I can go back To the things that were before Though I'm now always wearing black I don't bemoan my life of yore I feel like I have amnesia I feel like I have amnesia",,,,
