,0,1,2,3,4
0,,,,,
1,,,,,
2,,,,,
3,"I'm in here Please take me home Starla dear I'm all alone  When you can't decide what's on your mind It's clear I'm here, Starla dear To disappear takes so much time Starla dear, you're on my mind Soon, soon I'll be leaving Soon, soon I'll be leaving I hear all you're saying I hear all you're failing I'm in here Please take me home Starla dear I'm all alone Serve yourself No one else can do for you like you And no one else fails like me In my eyes I burn alive Fly like a bird No more words just you and I High in the sky",,,,
4,"Rockets, moon shots Spend it on the have nots Money, we make it Fore we see it you take it Oh, make you wanna holler The way they do my life Make me wanna holler The way they do my life This ain't livin' This ain't livin' No, no baby, this ain't livin' No, no, no Inflation no chance To increase finance Bills pile up sky high Send that boy off to die Make me wanna holler The way they do my life Make me wanna holler The way they do my life Hang ups, let downs Bad breaks, set backs Natural fact is I can't pay my taxes Oh, make me wanna holler And throw up both my hands Yea, it makes me wanna holler And throw up both my hands Crime is increasing Trigger happy policing Panic is spreading God knows where We're heading Oh, make me wanna holler They don't understand Make me wanna holler They don't understand",,,,
5,"I'm getting edgy all the time There's someone around me just a step behind It's kinda scary, the shape I'm in The walls are shakin' and they're closing in Too fast or a bit too slow I'm paranoid of people and it's starting to show There's one guy that I can't shake Over my shoulder is a big mistake Sitting on the bed Or lying wide awake There's demons in my head And it's more than I can take I think I'm on a roll But I think it's kinda weak Saying all I know is I gotta get away from me I tell you something just ain't right My head is on loose but my shoes are tight Avoiding my friends cause they all bug Life is a riddle and I'm really stumped If you reason, don't you know Your own preoccupation is where you'll go I think I'm being followed, I look around It's only my shadow creepin' on the ground I think I'm on a roll But I think it's kinda weak Saying all I know is I gotta get away from me",,,,
6,"Ooh What's the matter? What's the matter with you lately? What's the matter? What's the matter with you lately? Oh, your love Is never good enough Oh, your love is lost on me You don't know You don't know Oh, your love is lost on me Ooh What's the matter? What's the matter with you lately? What's the matter? What's the matter with you? Oh, your love Is never good enough Oh, your love is lost on me You don't know You don't know Oh, your love is lost on me What's the matter? What's the matter with you lately? What's the matter? What's the matter with you lately? Dreamer, you will waste your time Do you ever wonder why We go on and on and on? Love is gone and gone and gone What's the matter? What's the matter with you lately?",,,,
7,,,,,
8,"Shakedown 1979, cool kids never have the time On a live wire right up off the street You and I should meet June bug skipping like a stone With the headlights pointed at the dawn We were sure we'd never see an end to it all And I don't even care to shake these zipper blues And we don't know just where our bones will rest To dust I guess Forgotten and absorbed into the earth below Double cross the vacant and the bored They're not sure just what we have in the store Morphine city slippin' dues, down to see that We don't even care, as restless as we are We feel the pull in the land of a thousand guilts And poured cement, lamented and assured To the lights and towns below Faster than the speed of sound Faster than we thought we'd go, beneath the sound of hope Justine never knew the rules Hung down with the freaks and the ghouls No apologies ever need be made I know you better than you fake it, to see And I don't even care to shake these zipper blues And we don't know just where our bones will rest To dust I guess Forgotten and absorbed into the earth below The street heats the urgency of sound As you can see there's no one around",,,,
9,Do you have the time to listen to me whine About nothing and everything all at once I am one of those Melodramatic fools Neurotic to the bone No doubt about it Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Or am I just stoned I went to a shrink To analyze my dreams She says it's lack of sex that's bringing me down I went to a whore He said my life's a bore So quit my whining cause it's bringing her down Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? A ya-ya-ya Grasping to control So I better hold on Sometimes I give myself the creeps Sometimes my mind plays tricks on me It all keeps adding up I think I'm cracking up Am I just paranoid? Or am I just stoned?,,,,
