,0,1,2,3,4
0,,,,,
1,"Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video With Danny and Lisa They take me away from The strangest places Sweet Danny and Lisa They take me away from They take me away from The strangest places Sweet Danny and Lisa They take me away from Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video With Danny and Lisa They take me away from The strangest places Sweet Danny and Lisa They take me away from X2 Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video With Danny and Lisa They take me away from The strangest places Sweet Danny and Lisa. La la la la la la la La la la la La la la la La la la la la la la La la la la La la la la La la la la la la la La la la la La la la la La la la la la la la La la la la La la la la Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video Hey man, look at me rockin' out I'm on the radio Hey man, look at me rockin' out I'm on the video With Danny and Lisa",,,,
2,,,,,
3,,,,,
4,"And now that's it's over, I'll never be sober I couldn't believe, but now I'm so high And now that's it's over, I'll never be sober I couldn't believe, but now I'm so high Now I'm so high Now I'm so high Now I'm so high Girl, what's your problem 'Cause I know it's hard sometimes, baby just give it some time Oh honey now girl, we can solve them If you just give me some time I can open up your mind If you le-le-let it shine, you can free-ee-ee your mind 'Cause I know And now that's it's over, I'll never be sober I couldn't believe, but now I'm so high And now that's it's over, I'll never be sober I couldn't believe, but now I'm so high Now I'm so high Now I'm so high Now I'm so high Girl, if it's done right Well you know it's got to be, something wonderful to me Oh honey now girl, give it one night If you just give it a chance, loving you is not my plan 'Cause I know one day you'll see All the things that we can be And now that's it's over, I'll never be sober (I want to be the only one) I couldn't believe, but now I'm so high And now that's it's over, I'll never be sober And now that's it's over, I'll never be sober I couldn't believe, but now I'm so high Now I'm so high Now I'm so high Now I'm so high",,,,
5,,君は君だけしかいないよ 代わりなんて他にいないんだ 枯れないで一輪の花 光がまともに差し込まない君は まるで日陰に咲いた花の様 望んだはずじゃ無かった場所に 根をはらされて 動けずにいるんだね 閉じかけた気持ち吐き出せばいい 痛みも苦しみも全てを 受けとめるよ だから泣かないで 笑っていて 一輪の花 今にも枯れてしまいそうな 君の無邪気な姿が もう一度見たくて 君の力になりたいんだ 例え君以外の全ての人を 敵にまわす時が来ても 君の事守りぬくから YOU SHOULD NOTICE THAT THERE IS NO OTHER YOU SHOULD NOTICE THAT THERE IS NO NEXT TIME YOU SHOULD NOTICE THAT THERE IS NO OTHER YOU SHOULD NOTICE THAT THERE IS NO NEXT' TIME NOTICE THAT YOU SHOULD NOTICE THAT NOTICE THAT THERE'S NO OTHER 君は君だけしかいないよ 今までもこれから先にも 例え君以外の全ての人を 敵にまわす時が来ても 君の事守りぬくから 負けないで一輪の花 YOU SHOULD NOTICE THAT THERE IS NO OTHER YOU SHOULD NOTICE THAT THERE IS NO NEXT TIME YOU SHOULD NOTICE THAT THERE IS NO OTHER YOU SHOULD NOTICE THAT THERE IS NO NEXT' TIME NOTICE THAT YOU SHOULD NOTICE THAT NOTICE THAT THERE'S NO OTHER,,,
6,,,,,
7,There you are Infected with the water strain Wash your car Fish and thoughts come screaming down like rain  There you are Wash your hands and wash your face Water's gone It's vaporized and gone to outer space  I'm lookin' at the sky I'm waitin' on the rain I'm waitin' for the frogs to fall Down on me,,,,
8,There you are Infected with the water strain Wash your car Fish and thoughts come screaming down like rain  There you are Wash your hands and wash your face Water's gone It's vaporized and gone to outer space  I'm lookin' at the sky I'm waitin' on the rain I'm waitin' for the frogs to fall Down on me,,,,
9,"Saw you the other day looking so undermined Acting like it wouldn't happen Making sense of anything that you could find Because it's just about to happen and you'll be there You must've known the storm was coming When the clouds appeared May as well let the rain come down And join the circus of people While you're there Something is changing, bruising and taking And I'm trying to find out what it is When I fix her, she's breaking, reason keeps escaping me We're protecting and burning like a cyst I know that I can help you, I just don't fucking want to And the feeling is stronger by the day Say that I'm selfish but I know you need me Said I'm just so sick of the chase While you are letting your guard down I will be letting myself go While you keep running your ship aground I will be setting myself alight Too late you dropped the drawbridge, you let the vampires in You caused the shit to happen and now you want out Too late you dropped the drawbridge, you let the vampires in I hope you know now that it's nobody's fault but yours While you are letting your guard down I will be letting myself go While you keep running your ship aground I will be setting myself alight",,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,"When the routine bites hard And ambitions are low And the resentment rides high But emotions wont grow And were changing our ways, Taking different roads Then love, love will tear us apart again Why is the bedroom so cold Turned away on your side?  Is my timing that flawed, Our respect run so dry?  Yet theres still this appeal That weve kept through our lives Love, love will tear us apart again Do you cry out in your sleep All my failings expose?  Get a taste in my mouth As desperation takes hold Is it something so good Just cant function no more?  When love, love will tear us apart again",,,,
18,"About as subtle as an earthquake, I know My mistakes were made for you And in the back room of a bad dream, she came And whisked me away, enthused And it's solid as a rock rolling down a hill The fact is that it probably will hit something On the hazardous terrain And were just following the flock, round And the in between, before we smash to smithereens Like they were, and we scrambled from the grain And its the fame that put words in her mouth She couldn't help, but spit em out Innocence and arrogance intwined In the filthiest of minds She's was bitten on her birthday, and now A face in the crowd, shes not And i suspect that now, forever the shape She came to escape, its forgot And it's a lot to ask and not to sting1 Give her less than everything Around your crooked conscious she will wind Cos were just following the flock round And the in-between Before we smash to smithereens Like they were, and we scramble from the grain And it's the fame that put words in her mouth She couldn't help, but spit em out Around your crooked conscious she will wind And it's a lot to ask and not to sting Giver her less than everything Innocence and arrogance intwined",,,,
19,,,,,
20,"Them that's got, shall get Them that's not, shall lose So the Bible said, and it still is news Mama may have, and papa may have God bless' the child, That's got his own That's got his own Yes the strong seem to get more While the weak ones fade Empty pockets don't Ever make the grade As mama may have And papa may have God bless' the child That's got his own That's got his own. And when you got money, You got a lots of friends Crowdin' 'round your door When the money's gone And all you're spendin' ends They won't be 'round any more No, no, no more And rich relations May give you A crust of bread and such You can help yourself But don't take too much Mama may have And your papa may have But God bless' the child That's got his own That's got his own God bless' the child who can stand up and say I've got my own Ev'ry child's, got to have his own!",,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,"Vem Magalenha rojão, traz a lenha pro fogão, vem fazer armação Hoje é um dia de sol, alegria de coió, é curtir o verao Vem Magalenha rojão, traz a lenha pro fogão, vem fazer armação Hoje é um dia de sol, alegria de coió, é curtir o verão Te te te te te te te Te te te te te te te Te te te te te te te Vem Magalenha rojão, traz a senha pro fogão te te te coração Hoje é um dia de sol, alegria de xodó, meu dever de verão Vem Magalenha rojão, traz a senha pro fogão te te te coração Hoje é um dia de sol, alegria de xodó, meu dever de verão Te te te te te Te te te te te Te te te te te Te te te te te Calangulango, do calango da pretinha, 'Tô cantando essa mudinha pra senhora se lembrar, Daquele tempo que vivia la na roça com uma filha Na barriga e outra filha pra criar Calangulango, do calango da pretinha, 'Tô cantando essa mudinha pra senhora se lembrar, Daquele tempo que vivia la na roça com uma filha Na barriga e outra filha pra criar Calangulango, do calango da pretinha, 'Tô cantando essa mudinha pra senhora se lembrar, Daquele tempo que vivia la na roça com uma filha Na barriga e outra filha pra criar Te te te te te Te te te te te Te te te te te Vem Magalenha rojão, traz a senha pro fogão te te te coração Hoje é um dia de sol, alegria de xodó, meu dever de verão Vem Magalenha rojão, traz a senha pro fogão te te te coração Hoje é um dia de sol, alegria de xodó, meu dever de verão Te te te te te Te te te te te Te te te te te Te te te te te Te te te te te Te te te te te Te te te te te Te te te te te Te te te te te",,,,
