,0,1,2,3
0,,,,
1,,,,
2,,,,
3,"Get your motor runnin' Head out on the highway Lookin' for adventure And whatever comes our way Yeah Darlin' go make it happen Take the world in a love embrace Fire all of your guns at once And explode into space I like smoke and lightning Heavy metal thunder Racin' with the wind And the feelin' that I'm under Yeah Darlin' go make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature's child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild Get your motor runnin' Head out on the highway Lookin' for adventure And whatever comes our way Yeah Darlin' go make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature's child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild",,,
4,,,,
5,,,,
6,"There's a man looking blank to the wall Older, colder and mumbling Looking over his shoulder Until the break of dawn His eyes will not close All the days are the same getting down At the bar and he's mumbling About the war and lost ones Until the break of dawn And where are his loved ones Oh baby it's oh so cold in this place Oh maybe it's all so close to the bitter end Oh maybe it all just burns like a living hell I'm all alone, and here comes the dawn Hearing boots walking into the bar Four men dragging their boxes People stare and smell trouble Until the break of dawn, the four men will go Oh baby it's oh so cold in this place Oh maybe it's all so close to the bitter end Oh maybe it all just burns like a living hell I'm all alone, and here comes the dawn And the four men starts to open every case And people wonder When they pull out their instruments and play Dear people we are the guitar gangsters And we are here to join you And ease the pain you're in Now listen Hearing boots walking into the bar Four men dragging their boxes People smile and they're roaring Until the break of dawn, a new day is born Oh baby it's oh so cold in this place Oh maybe it's all so close to the bitter end Oh maybe it all just burns like a living hell I'm all alone, and here comes the dawn Dear people we are the guitar gangsters And we are here to join you And ease the pain you're in Now listen Dear ladies and gentlemen We thank you for your kindness We're on the road again, forever",,,
7,,,,
8,,,,
9,You want to have her Two years have gone now But I can't relate To the never ending Games that you play As desire passes through And you're open To the truth I hope you understand And your love Is standing next to me Is standing next to me The one you fell for Makes it seem juvenile And you laugh At yourself Again and again But as you drink To the thoughts She'll remember you Maybe tomorrow Is standing next to me Is standing next to me You want to have her Two years have gone now But I can't relate To the never ending Games that you play As desire passes through Then you're open To the truth I hope you understand Is standing next to me Is standing next to me,,,
10,,,,
