,0,1,2,3
0,,,,
1,,,,
2,"Just close your eyes and then remember The thoughts you've locked away When tomorrow comes you'll wish You had today And as we sit here alone Looking for a reason to go on It's so clear that all we have now Are our thoughts of yesterday If you're still there when it's all over I'm scared I'll have to say That a part of  you has gone Since yesterday And as we sit here alone Looking for a reason to go on It's so clear that all we have now Are our thoughts of yesterday Well, maybe this could be the ending With nothing left of you A hundred wishes couldn't say I don't want to It's so clear that all we have now Are thoughts of yesterday",,,
3,"I am he as you are he as you are me And we are all together See how they run like pigs from a gun See how they fly I'm crying Sitting on a corn flake Waiting for the van to come Corporation T-shirt, stupid bloody Tuesday Man you've been a naughty boy You let your face grow long I am the egg man They are the egg men I am the walrus Goo goo g'joob Mr. City policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I'm crying I'm crying, I'm crying, I'm crying Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife, pornographic priestess Boy, you've been a naughty girl You let your knickers down I am the egg man They are the egg men I am the walrus Goo goo g'joob Sitting in an English garden Waiting for the sun If the sun don't come you get a tan From standing in the English rain I am the egg man (How do you do sir?) They are the egg men (The man maintains a fortune) I am the walrus Goo goo g'joob, goo goo goo g'joob Expert, texpert choking smokers Don't you think the joker laughs at you (Ho ho ho, hee hee hee, hah hah hah) See how they smile like pigs in a sty See how they snide I'm crying Semolina Pilchard Climbing up the Eiffel tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allen Poe I am the egg man They are the egg men I am the walrus Goo goo g'joob, goo goo goo g'joob Goo goo g'joob, goo goo goo g'joob, goo goo",,,
4,,,,
5,,,,
6,I'll break your heart To keep you far from where all dangers start And atmosphere Gets crazy life Where every breath transpires And to a star Space of calm about you They call me a thief They call me a thief Call me a thief Call me a thief Common thief Common thief Common thief Call me Call me So I know That you're not that you're not here Sort of lost without you I hope That you burn all there is that You want is inside you now I'll break your heart To keep you far from where All dangers start I'm on my way I'm on my way down I know That you're not that you're not here Sort of lost without you I hope That you find all there is that You want is inside you now I know that You're not here I wonder where you are In the dark we are waiting for you We are waiting for you With your dying need for Their attention hold on right now We won't let you fall We are waiting for you With your dying need for Their attention hold on right now We won't let you fall,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
